assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
0,1,0,8061,0,0,0.42813047766685486,Leon Clarke,S,0,1,Sheffield United,12,0,0.42813047766685486,0.05996185913681984,0.4880923330783844,0
0,9,0,8066,2,0,0.6087043602019548,Arnaut Danjuma Groeneveld,M S,0,10,Bournemouth,396,0.08650514110922813,0.6087043602019548,0.22330260463058949,0.8041467927396297,0
2,17,0,8067,16,0,0.7269492018967867,Reece James,D M S,0,15,Chelsea,1067,1.3360237404704094,0.7269492018967867,3.690575238317251,4.497980490326881,1
0,5,0,8082,0,0,0,David Martin,GK S,0,0,West Ham,436,0,0,0.16211920976638794,0.16211920976638794,1
0,5,0,8089,4,0,0.06785999052226543,Kieran Tierney,D M S,0,2,Arsenal,301,0.3187371604144573,0.06785999052226543,0.1853741519153118,0.46237437054514885,1
0,2,0,8145,0,0,0,Troy Parrott,S,0,0,Tottenham,3,0,0,0,0,0
0,2,0,8150,0,0,0.12237725406885147,Anthony Gordon,S,0,2,Everton,57,0,0.12237725406885147,0,0.12237725406885147,0
0,1,0,8216,2,0,0,Brandon Pierrick,S,0,0,Crystal Palace,6,0.09551873803138733,0,0,0.09551873803138733,0
0,6,0,8222,1,0,0.053468216210603714,Japhet Tanganga,D M,0,3,Tottenham,528,0.029117818921804428,0.053468216210603714,0.70845702663064,0.7489598095417023,1
0,2,0,8224,0,0,0.15459966100752354,William Smallbone,M,0,2,Southampton,165,0,0.15459966100752354,0.327844500541687,0.482444167137146,0
0,1,0,8226,1,0,0,Tariq Lamptey,S,0,0,Chelsea,26,0.06915584951639175,0,0,0.06915584951639175,0
0,4,0,8235,0,0,0,Jeremy Ngakia,D,0,0,West Ham,360,0,0,0.5910859974101186,0.5910859974101186,0
0,3,0,8239,0,0,0.5476611703634262,Takumi Minamino,S,0,2,Liverpool,72,0,0.5476611703634262,0.11495358124375343,0.6070140041410923,0
0,2,0,8254,0,0,0,Indiana Vassilev,S,0,0,Aston Villa,32,0,0,0,0,0
0,4,0,8257,2,0,0,Gedson Fernandes,S,0,0,Tottenham,32,0.09191018715500832,0,0.04856030270457268,0.140470489859581,0
0,4,0,8285,0,0,0.0539725199341774,Sander Berge,M S,0,1,Sheffield United,217,0,0.0539725199341774,0.017906801775097847,0.017906801775097847,0
0,4,0,8288,1,0,0.35825204849243164,Tomas Soucek,M S,0,2,West Ham,232,0.09928299486637115,0.35825204849243164,0.11765205673873425,0.309909425675869,0
0,4,0,8291,2,0,0.24711329489946365,Daniel Podence,S,0,2,Wolverhampton Wanderers,36,0.39288104325532913,0.24711329489946365,0.45833102613687515,0.7828026935458183,0
0,1,0,8323,0,0,0,Josh Brownhill,S,0,0,Burnley,1,0,0,0,0,0
0,1,0,8379,0,0,0.014046399854123592,Alexis Mac Allister,S,0,1,Brighton,8,0,0.014046399854123592,0,0.014046399854123592,0
0,1,0,8380,0,0,0,Pablo Marí,D,0,0,Arsenal,90,0,0,0.40420639514923096,0.40420639514923096,0
0,1,0,8383,0,0,0.016682621091604233,Faustino Anjorin,S,0,1,Chelsea,19,0,0.016682621091604233,0,0.016682621091604233,0
0,1,0,8384,0,0,0,Armando Broja,S,0,0,Chelsea,4,0,0,0.020872782915830612,0.020872782915830612,0
